2025-03-11 at 13:56:35 | INFO |Бот создан
2025-03-11 at 13:56:35 | INFO |Диспечер создан
2025-03-11 at 13:57:59 | INFO |Бот вернул пользователю сообщение Известны данные о стоимости каждого товара из группы. Найти общую стоимость тех товаров, которые стоят дороже 1000 рублей (количество таких товаров неизвестно) на пайтоне
2025-03-11 at 13:59:43 | INFO |Бот вернул пользователю сообщение Gg
2025-03-11 at 13:59:48 | INFO |Бот вернул пользователю сообщение Лох
2025-03-11 at 13:59:50 | INFO |Бот вернул пользователю сообщение По
2025-03-11 at 13:59:59 | INFO |Бот вернул пользователю сообщение А
2025-03-11 at 14:00:02 | INFO |Бот вернул пользователю сообщение Ю
2025-03-11 at 14:00:03 | INFO |Бот вернул пользователю сообщение Пь
2025-03-11 at 14:00:04 | INFO |Бот вернул пользователю сообщение Ьп
2025-03-11 at 14:00:05 | INFO |Бот вернул пользователю сообщение Ьм
2025-03-11 at 14:00:06 | INFO |Бот вернул пользователю сообщение Дм
2025-03-11 at 14:00:07 | INFO |Бот вернул пользователю сообщение Ьп
2025-03-11 at 14:00:10 | INFO |Бот вернул пользователю сообщение Пь
2025-03-11 at 14:00:29 | INFO |Бот вернул пользователю сообщение Help
2025-03-11 at 14:00:32 | INFO |Бот вернул пользователю сообщение help
2025-03-11 at 14:00:44 | INFO |Бот объяснил, что делает
2025-03-11 at 14:01:35 | INFO |Бот ответил на команду /start
2025-03-11 at 14:02:04 | INFO |Бот вернул пользователю сообщение F
